단어,뜻,원래장면,뺀이유
advertise,광고하다,주고받는 손,아이 둘이 상자를 주고받을 뿐
appeal,호소하다,여행 가방과 문,가방 둘·코트·문뿐
assess,헤아려 매기다,세계 지도와 신문,지구본·지도·나침반뿐
band,악단,무대와 관객,"아이 둘과 의자 셋뿐, 악기·행진 없음"
bet,내기,주고받는 손,아이 둘이 상자를 주고받을 뿐
blind,눈먼,병원 진료실,의사·아이·침대·청진기·약병뿐
bomb,폭탄,창고의 밤손님,상자·자물쇠·밧줄·헬멧·쥐뿐
calendar,달력,벽의 달력과 시계,달력이 그림에 없음
captain,선장,일하는 사람들,어른 두 명뿐
champion,우승자,무대와 관객,"아이 둘과 의자 셋뿐, 악기·행진 없음"
characteristic,특징,여행 가방과 문,가방 둘·코트·문뿐
cigarette,담배,식탁의 하루,담배·차림표·조리법 없음
coach,지도자,일하는 사람들,어른 두 명뿐
comedy,희극,무대와 관객,"아이 둘과 의자 셋뿐, 악기·행진 없음"
committee,위원회,마을 사람들,"어른 두 명뿐, 나이·성별·관계 안 보임"
concert,연주회,무대와 관객,"아이 둘과 의자 셋뿐, 악기·행진 없음"
conscious,의식하는,여행 가방과 문,가방 둘·코트·문뿐
council,의회,마을 사람들,"어른 두 명뿐, 나이·성별·관계 안 보임"
dare,감히 하다,작업대와 연장,tear는 뜻이 '눈물'인데 작업대에 눈물 없음
darling,귀염둥이,마을 사람들,"어른 두 명뿐, 나이·성별·관계 안 보임"
divorce,이혼,마을 사람들,"어른 두 명뿐, 나이·성별·관계 안 보임"
dust,먼지,창고의 밤손님,상자·자물쇠·밧줄·헬멧·쥐뿐
edit,편집하다,책상 위 인쇄물,"잡지·사진이 전부 백지, 글자 하나도 없음"
educate,교육하다,세계 지도와 신문,지구본·지도·나침반뿐
evil,악한,창고의 밤손님,상자·자물쇠·밧줄·헬멧·쥐뿐
forgive,용서하다,주고받는 손,아이 둘이 상자를 주고받을 뿐
gesture,날갯짓,작업대와 연장,tear는 뜻이 '눈물'인데 작업대에 눈물 없음
ghost,유령,창고의 밤손님,상자·자물쇠·밧줄·헬멧·쥐뿐
grade,등급,세계 지도와 신문,지구본·지도·나침반뿐
guarantee,보증,주고받는 손,아이 둘이 상자를 주고받을 뿐
gun,총,창고의 밤손님,상자·자물쇠·밧줄·헬멧·쥐뿐
hell,지옥,창고의 밤손님,상자·자물쇠·밧줄·헬멧·쥐뿐
illustrate,설명하다,작업대와 연장,tear는 뜻이 '눈물'인데 작업대에 눈물 없음
insure,보험을 들다,돈 세는 창구,동전·주머니·양철통뿐
invest,밑천을 대다,주고받는 손,아이 둘이 상자를 주고받을 뿐
junior,손아래의,마을 사람들,"어른 두 명뿐, 나이·성별·관계 안 보임"
league,연맹,무대와 관객,"아이 둘과 의자 셋뿐, 악기·행진 없음"
male,남자의,마을 사람들,"어른 두 명뿐, 나이·성별·관계 안 보임"
master,달인,일하는 사람들,어른 두 명뿐
mental,마음의,병원 진료실,의사·아이·침대·청진기·약병뿐
menu,차림표,식탁의 하루,담배·차림표·조리법 없음
mill,방앗간,일하는 사람들,어른 두 명뿐
nail,발톱 끝,병원 진료실,의사·아이·침대·청진기·약병뿐
navy,해군,창고의 밤손님,상자·자물쇠·밧줄·헬멧·쥐뿐
noon,정오,도시의 한낮,시각을 알 수 있는 것이 없음
opera,오페라·가극,무대와 관객,"아이 둘과 의자 셋뿐, 악기·행진 없음"
parade,행진,무대와 관객,"아이 둘과 의자 셋뿐, 악기·행진 없음"
paragraph,문단,책상 위 인쇄물,"잡지·사진이 전부 백지, 글자 하나도 없음"
pregnant,생명을 품은,병원 진료실,의사·아이·침대·청진기·약병뿐
recipe,조리법,식탁의 하루,담배·차림표·조리법 없음
screen,화면,책상 위 인쇄물,"잡지·사진이 전부 백지, 글자 하나도 없음"
secretary,비서,일하는 사람들,어른 두 명뿐
session,시간,세계 지도와 신문,지구본·지도·나침반뿐
sex,성별,마을 사람들,"어른 두 명뿐, 나이·성별·관계 안 보임"
shoot,쏘다,창고의 밤손님,상자·자물쇠·밧줄·헬멧·쥐뿐
slave,종,일하는 사람들,어른 두 명뿐
species,종,비 갠 뒤 하늘,제비 한 마리로 '종'은 무리
spell,철자,책상 위 인쇄물,"잡지·사진이 전부 백지, 글자 하나도 없음"
sponsor,후원자,주고받는 손,아이 둘이 상자를 주고받을 뿐
spy,첩자,일하는 사람들,어른 두 명뿐
stock,주식,돈 세는 창구,동전·주머니·양철통뿐
tear,눈물,작업대와 연장,tear는 뜻이 '눈물'인데 작업대에 눈물 없음
teenage,십대의,마을 사람들,"어른 두 명뿐, 나이·성별·관계 안 보임"
tongue,혀,병원 진료실,의사·아이·침대·청진기·약병뿐
volunteer,자원하는 사람,일하는 사람들,어른 두 명뿐
