단어,뜻,갈래,레벨,내려온곳,편이름,사유
event,일어난 일,시간과 때,레벨1,1-09,눈 덮인 숲의 오로라,그림에서 짚을 수 없음
instant,즉각적인,시간과 때,레벨1,2-16,물가의 푸른 잠자리,그림에서 짚을 수 없음
rare,드문·희귀한,많고 적음,레벨2,2-16,물가의 푸른 잠자리,그림에서 짚을 수 없음
forth,앞으로,자리와 방향,레벨2,2-17,날개 달린 단풍 씨앗,그림에서 짚을 수 없음
bit,조금,많고 적음,레벨1,2-21,잎사귀 위 무당벌레,그림에서 짚을 수 없음
each,저마다,정도와 범위말,레벨1,2-21,잎사귀 위 무당벌레,그림에서 짚을 수 없음
period,기간,시간과 때,레벨1,2-23,나선형 껍질의 달팽이,그림에서 짚을 수 없음
improve,나아지게 하다,좋고 나쁨,레벨1,2-24,온실과 분무기,그림에서 짚을 수 없음
item,항목,정도와 범위말,레벨1,3-05,현관 구석의 잡동사니,그림에서 짚을 수 없음
perfect,완벽한,좋고 나쁨,레벨1,3-10,꽃가위와 라벤더,그림에서 짚을 수 없음
simple,단순한,쉽고 어려움,레벨1,3-11,그루터기 위 새집,그림에서 짚을 수 없음
process,과정,하고 다루기,레벨2,3-13,꽃을 누르는 나무틀,그림에서 짚을 수 없음
apply,갖다 쓰다,하고 다루기,레벨1,3-13,꽃을 누르는 나무틀,그림에서 짚을 수 없음
whole,전체의,이음말,레벨1,3-15,유리로 지은 온실,그림에서 짚을 수 없음
range,범위,많고 적음,레벨1,3-16,울타리 앞 해바라기,그림에서 짚을 수 없음
major,주요한,많고 적음,레벨1,3-16,울타리 앞 해바라기,그림에서 짚을 수 없음
sum,합계,많고 적음,레벨1,3-16,울타리 앞 해바라기,그림에서 짚을 수 없음
ordinary,평범한,세상 물정,레벨2,3-19,계단 옆 거실,그림에서 짚을 수 없음
section,부분,정도와 범위말,레벨1,3-19,계단 옆 거실,그림에서 짚을 수 없음
situate,자리잡게 하다,세상 물정,레벨2,3-20,램프 곁의 담요,그림에서 짚을 수 없음
previous,앞선,시간과 때,레벨2,4-03,여행기록 보존대 (양장본),그림에서 짚을 수 없음
session,시간,정도와 범위말,레벨2,4-09,나무 독서대,그림에서 짚을 수 없음
few,적은,많고 적음,레벨1,4-10,클립과 압정,그림에서 짚을 수 없음
until,~까지,자리와 방향,레벨1,5-21,기차역 승강장,그림에서 짚을 수 없음
till,~까지,자리와 방향,레벨1,5-21,기차역 승강장,그림에서 짚을 수 없음
sudden,갑작스러운,시간과 때,레벨1,5-29,구조 헬리콥터,그림에서 짚을 수 없음
adapt,적응하다,같고 다름,레벨2,6-04,물레와 점토,그림에서 짚을 수 없음
tough,힘든,쉽고 어려움,레벨2,6-06,목공 대패와 대팻밥,그림에서 짚을 수 없음
especial,특별한,정도와 범위말,레벨2,6-08,스테인드글라스 조각,그림에서 짚을 수 없음
characteristic,특징,정도와 범위말,레벨2,6-09,석고상과 조각주걱,그림에서 짚을 수 없음
quality,질,좋고 나쁨,레벨1,6-10,양장본 책과 리본,그림에서 짚을 수 없음
truth,진실,믿음과 의심,레벨1,6-14,화석과 돋보기,그림에서 짚을 수 없음
suppose,추측하다,생각하기,레벨2,6-14,화석과 돋보기,그림에서 짚을 수 없음
annual,해마다의,시간과 때,레벨2,6-15,오크통과 포도,그림에서 짚을 수 없음
due,~하기로 된,시간과 때,레벨1,6-15,오크통과 포도,그림에서 짚을 수 없음
term,기간,시간과 때,레벨2,6-15,오크통과 포도,그림에서 짚을 수 없음
similar,비슷한,같고 다름,레벨1,6-17,과일 접시,그림에서 짚을 수 없음
affair,일,정도와 범위말,레벨1,8-09,캠핑 주전자와 머그컵,그림에서 짚을 수 없음
once,한 번,시간과 때,레벨1,8-09,캠핑 주전자와 머그컵,그림에서 짚을 수 없음
brief,짧은,정도와 범위말,레벨2,8-09,캠핑 주전자와 머그컵,그림에서 짚을 수 없음
capable,할 수 있는,쉽고 어려움,레벨2,8-10,밧줄과 고리쇠,그림에서 짚을 수 없음
slight,약간의,많고 적음,레벨2,8-13,기름병과 손잡이 병,그림에서 짚을 수 없음
extra,덤의,많고 적음,레벨1,8-13,기름병과 손잡이 병,그림에서 짚을 수 없음
opera,오페라·가극,도시의 건물,레벨1,9-01,그랜드 피아노와 건반,그림에서 짚을 수 없음
teenage,십대의,사람 성격,레벨1,9-02,어쿠스틱 기타와 울림통,그림에서 짚을 수 없음
desire,바람,바람과 아쉬움,레벨2,9-03,클래식 바이올린과 활,그림에서 짚을 수 없음
tear,눈물,몸과 감각,레벨1,9-03,클래식 바이올린과 활,그림에서 짚을 수 없음
forever,영원히,시간과 때,레벨1,9-05,피라미드 메트로놈,그림에서 짚을 수 없음
individual,한 사람,사람과 관계,레벨2,9-06,중후한 첼로와 엔드핀,그림에서 짚을 수 없음
serious,진지한,사람 성격,레벨2,9-06,중후한 첼로와 엔드핀,그림에서 짚을 수 없음
mental,마음의,몸과 마음의 상태,레벨2,9-06,중후한 첼로와 엔드핀,그림에서 짚을 수 없음
modern,요즘의,세상 물정,레벨1,9-07,황동 색소폰과 키,그림에서 짚을 수 없음
version,판,세상 물정,레벨2,9-07,황동 색소폰과 키,그림에서 짚을 수 없음
general,두루 쓰이는,정도와 범위말,레벨2,9-08,프렌치 호른과 원형 관,그림에서 짚을 수 없음
main,주된,정도와 범위말,레벨2,9-08,프렌치 호른과 원형 관,그림에서 짚을 수 없음
overall,전체의,정도와 범위말,레벨2,9-08,프렌치 호른과 원형 관,그림에서 짚을 수 없음
unit,낱개,같고 다름,레벨1,9-08,프렌치 호른과 원형 관,그림에서 짚을 수 없음
fancy,상상,놀람과 궁금함,레벨1,9-09,은빛 플루트와 키,그림에서 짚을 수 없음
fantastic,환상적인,놀람과 궁금함,레벨1,9-09,은빛 플루트와 키,그림에서 짚을 수 없음
pronounce,발음하다,알리고 밝히기,레벨1,9-09,은빛 플루트와 키,그림에서 짚을 수 없음
reply,대답하다,소리내어 말하기,레벨1,9-09,은빛 플루트와 키,그림에서 짚을 수 없음
occasion,경우,시간과 때,레벨2,9-10,흑단 클라리넷과 벨,그림에서 짚을 수 없음
soon,곧,시간과 때,레벨1,10-01,새벽 안개 낀 시골길,그림에서 짚을 수 없음
effect,효과,일의 결과,레벨1,10-03,녹는 얼음과 김,그림에서 짚을 수 없음
necessary,꼭 필요한,좋고 나쁨,레벨1,10-05,털장갑 한 켤레,그림에서 짚을 수 없음
proper,알맞은,좋고 나쁨,레벨1,10-05,털장갑 한 켤레,그림에서 짚을 수 없음
common,흔한,정도와 범위말,레벨1,10-05,털장갑 한 켤레,그림에서 짚을 수 없음
practical,실용적인,쉽고 어려움,레벨2,10-05,털장갑 한 켤레,그림에서 짚을 수 없음
possible,있을 수 있는,정도와 범위말,레벨1,10-09,둥근 유리 플라스크,그림에서 짚을 수 없음
probable,있음직한,정도와 범위말,레벨2,10-09,둥근 유리 플라스크,그림에서 짚을 수 없음
define,뜻을 밝히다,생각하기,레벨2,10-09,둥근 유리 플라스크,그림에서 짚을 수 없음
concept,개념,생각하기,레벨2,10-09,둥근 유리 플라스크,그림에서 짚을 수 없음
context,앞뒤 사정,생각하기,레벨1,10-09,둥근 유리 플라스크,그림에서 짚을 수 없음
basis,기초,정도와 범위말,레벨2,10-09,둥근 유리 플라스크,그림에서 짚을 수 없음
average,평균,많고 적음,레벨1,11-14,양팔저울과 추,그림에서 짚을 수 없음
able,할 수 있는,쉽고 어려움,레벨2,11-16,로봇팔과 회로판,그림에서 짚을 수 없음
potential,가능성,일의 결과,레벨2,11-16,로봇팔과 회로판,그림에서 짚을 수 없음
attitude,태도,생각하기,레벨1,12-10,무대의 조명과 가면,그림에서 짚을 수 없음
succeed,성공하다,일의 결과,레벨1,12-10,무대의 조명과 가면,그림에서 짚을 수 없음
