단어,뜻,갈래,레벨,CEFR
retire,물러나다,가고 오기,레벨1,A2
adapt,적응하다,같고 다름,레벨2,B1
adopt,받아들이다,같고 다름,레벨2,B1
real,진짜의,같고 다름,레벨1,A1
similar,비슷한,같고 다름,레벨1,A2
unit,낱개,같고 다름,레벨1,A2
appoint,정하다,고르고 정하기,레벨2,B1
assign,맡기다,고르고 정하기,레벨2,B1
target,목표점·방향,고르고 정하기,레벨1,A2
principle,원칙,규칙과 사회,레벨2,B1
privacy,사생활,규칙과 사회,레벨2,B1
responsible,책임 있는,규칙과 사회,레벨2,B1
fancy,상상,놀람과 궁금함,레벨1,A2
fantastic,환상적인,놀람과 궁금함,레벨1,A2
hell,지옥,놀람과 궁금함,레벨2,B2
opera,오페라·가극,도시의 건물,레벨1,A1
cure,낫게 하다,돕고 섬기기,레벨2,B1
favor,호의,돕고 섬기기,레벨2,미수록|로부장수기
treat,돌보아 주다,돕고 섬기기,레벨2,B1
argue,따지다,따지고 다투기,레벨1,A2
claim,주장하다,따지고 다투기,레벨1,A2
complain,불평하다,따지고 다투기,레벨1,A2
convince,납득시키다,따지고 다투기,레벨2,B1
debate,토론,따지고 다투기,레벨1,A2
deny,아니라고 하다,따지고 다투기,레벨2,B1
insist,우기다,따지고 다투기,레벨2,B1
district,모이통 구역,땅과 물길,레벨2,B1
replace,바꿔 놓다,만들고 고치기,레벨1,A2
absolute,완전한,많고 적음,레벨2,B1
average,평균,많고 적음,레벨1,A2
bit,조금,많고 적음,레벨1,A2
extra,덤의,많고 적음,레벨1,A2
few,적은,많고 적음,레벨1,A2
limit,한계,많고 적음,레벨2,B1
major,주요한,많고 적음,레벨1,A2
maximum,최대의,많고 적음,레벨2,B1
minor,작은 쪽의,많고 적음,레벨2,B1
none,하나도 없음,많고 적음,레벨2,B1
prime,으뜸의,많고 적음,레벨2,B2
quite,꽤,많고 적음,레벨1,A2
range,범위,많고 적음,레벨1,A2
rare,드문·희귀한,많고 적음,레벨2,B1
slight,약간의,많고 적음,레벨2,B1
sum,합계,많고 적음,레벨1,A1
shoot,쏘다,몸 전체로 하는 것,레벨1,A2
tear,눈물,몸과 감각,레벨1,A2
drug,약,몸과 마음의 상태,레벨1,A2
exhaust,기운을 다 쓰다,몸과 마음의 상태,레벨2,B2
mental,마음의,몸과 마음의 상태,레벨2,B1
pregnant,생명을 품은,몸과 마음의 상태,레벨2,B1
advice,조언,묻고 부탁하기,레벨1,A2
advise,조언하다,묻고 부탁하기,레벨1,A2
beg,간청하다,묻고 부탁하기,레벨1,A2
excuse,변명,묻고 부탁하기,레벨1,A1
hint,귀띔,묻고 부탁하기,레벨2,B2
pardon,용서,묻고 부탁하기,레벨1,A1
promise,약속,묻고 부탁하기,레벨1,A2
propose,제안하다,묻고 부탁하기,레벨2,B1
recommend,권하다,묻고 부탁하기,레벨2,B1
require,요구하다,묻고 부탁하기,레벨2,B1
suggest,넌지시 말하다,묻고 부탁하기,레벨1,A2
confirm,확인하다,믿음과 의심,레벨2,B1
doubt,의심,믿음과 의심,레벨1,A2
truth,진실,믿음과 의심,레벨1,A2
bore,지루하게 하다,바람과 아쉬움,레벨2,B1
depress,기운을 꺾다,바람과 아쉬움,레벨2,미수록|로부장수기
desire,바람,바람과 아쉬움,레벨2,B1
disappoint,실망시키다,바람과 아쉬움,레벨2,B1
hesitate,망설이다,바람과 아쉬움,레벨2,B1
pity,안타까움,바람과 아쉬움,레벨1,A2
educate,교육하다,배움과 가르침,레벨2,B1
grade,등급,배움과 가르침,레벨1,A1
awkward,어색한,부끄러움과 미움,레벨2,B1
blame,탓하다,부끄러움과 미움,레벨1,A2
disgust,역겨움,부끄러움과 미움,레벨2,미수록|로부장수기
embarrass,부끄럽게 하다,부끄러움과 미움,레벨2,B1
ignore,무시하다,부끄러움과 미움,레벨2,B1
shame,부끄러움,부끄러움과 미움,레벨2,B1
cigarette,담배,부엌과 조리,레벨1,A2
advertise,광고하다,사고팔기,레벨2,B1
bet,내기,사고팔기,레벨2,B1
demand,요구,사고팔기,레벨2,B1
grant,내어 주다,사고팔기,레벨2,B1
guarantee,보증,사고팔기,레벨2,B1
invest,밑천을 대다,사고팔기,레벨2,B1
sponsor,후원자,사고팔기,레벨2,B1
serious,진지한,사람 성격,레벨2,B1
sex,성별,사람 성격,레벨2,B1
smart,영리한,사람 성격,레벨1,A1
teenage,십대의,사람 성격,레벨1,A2
wise,슬기로운,사람 성격,레벨1,A2
associate,어울리다,사람과 관계,레벨2,B1
committee,위원회,사람과 관계,레벨1,A2
council,의회,사람과 관계,레벨2,B1
darling,귀염둥이,사람과 관계,레벨2,B2
depend,기대다,사람과 관계,레벨1,A2
fellow,친구·동료,사람과 관계,레벨2,B1
individual,한 사람,사람과 관계,레벨2,B1
involve,끌어들이다,사람과 관계,레벨2,B1
junior,손아래의,사람과 관계,레벨1,A2
native,본디 그곳의,사람과 관계,레벨1,A2
person,사람,사람과 관계,레벨1,A1
respect,존중하다,사람과 관계,레벨2,B1
slave,종,사람과 관계,레벨1,A2
assume,그러려니 하다,생각하기,레벨2,B1
attitude,태도,생각하기,레벨1,A2
concept,개념,생각하기,레벨2,B1
confuse,헷갈리게 하다,생각하기,레벨1,A2
consider,곰곰이 생각하다,생각하기,레벨1,A2
context,앞뒤 사정,생각하기,레벨1,A2
define,뜻을 밝히다,생각하기,레벨2,B1
determine,결정하다,생각하기,레벨2,B1
opinion,의견,생각하기,레벨1,A2
reason,까닭,생각하기,레벨1,A1
regard,여기다,생각하기,레벨2,B1
remind,떠올리게 하다,생각하기,레벨1,A2
suppose,추측하다,생각하기,레벨2,B1
tend,~하는 경향이 있다,생각하기,레벨2,B1
circumstance,상황,세상 물정,레벨2,B2
domestic,국내의,세상 물정,레벨2,B2
foreign,외국의,세상 물정,레벨1,A1
modern,요즘의,세상 물정,레벨1,A2
ordinary,평범한,세상 물정,레벨2,B1
situate,자리잡게 하다,세상 물정,레벨2,미수록|로부장수기
social,사회의,세상 물정,레벨1,A1
state,상태,세상 물정,레벨1,A2
version,판,세상 물정,레벨2,B2
instruct,지시하다,소리내어 말하기,레벨2,B2
interrupt,말을 끊다,소리내어 말하기,레벨2,B1
reply,대답하다,소리내어 말하기,레벨1,A2
yell,고함치다,소리내어 말하기,레벨2,B1
dozen,열두 개,수와 셈,레벨2,B1
able,할 수 있는,쉽고 어려움,레벨2,B1
capable,할 수 있는,쉽고 어려움,레벨2,B1
ease,쉬움,쉽고 어려움,레벨2,B2
practical,실용적인,쉽고 어려움,레벨2,B1
simple,단순한,쉽고 어려움,레벨1,A2
tough,힘든,쉽고 어려움,레벨2,B2
annual,해마다의,시간과 때,레벨2,B1
due,~하기로 된,시간과 때,레벨1,A1
event,일어난 일,시간과 때,레벨1,A1
forever,영원히,시간과 때,레벨1,A2
instant,즉각적인,시간과 때,레벨1,A2
nowadays,요즘,시간과 때,레벨1,A2
occasion,경우,시간과 때,레벨2,B1
once,한 번,시간과 때,레벨1,A1
period,기간,시간과 때,레벨1,A1
previous,앞선,시간과 때,레벨2,B1
recent,최근의,시간과 때,레벨1,A2
soon,곧,시간과 때,레벨1,A1
sudden,갑작스러운,시간과 때,레벨1,A2
term,기간,시간과 때,레벨2,B1
yet,아직,시간과 때,레벨1,A1
gun,총,싸움과 지킴,레벨1,A2
oppose,반대하다,싸움과 지킴,레벨1,A2
rob,빼앗다,싸움과 지킴,레벨1,A2
steal,훔치다,싸움과 지킴,레벨1,A2
admit,인정하다,알리고 밝히기,레벨1,A2
emphasize,강조하다,알리고 밝히기,레벨2,미수록|로부장수기
frankly,솔직히,알리고 밝히기,레벨2,B2
pronounce,발음하다,알리고 밝히기,레벨1,A2
league,연맹,운동과 겨루기,레벨2,B1
altogether,모두 합쳐,이음말,레벨2,B1
despite,~에도 불구하고,이음말,레벨2,B1
either,둘 중 하나,이음말,레벨1,A1
even,심지어,이음말,레벨1,A2
except,~을 빼고,이음말,레벨1,A2
instead,대신에,이음말,레벨1,A2
let,~하게 하다,이음말,레벨1,A1
moreover,게다가,이음말,레벨2,B1
neither,둘 다 아닌,이음말,레벨2,B2
nor,~도 아닌,이음말,레벨2,B1
otherwise,그렇지 않으면,이음말,레벨2,B1
ought,마땅히 ~해야 한다,이음말,레벨2,미수록|로부장수기
rather,오히려,이음말,레벨1,A2
shall,~할 것이다,이음말,레벨1,A2
then,그때,이음말,레벨1,A1
therefore,그러므로,이음말,레벨1,A2
though,비록,이음말,레벨1,A2
thus,그러므로,이음말,레벨2,B1
which,어느 것,이음말,레벨1,A1
whole,전체의,이음말,레벨1,A2
would,~일 것이다,이음말,레벨1,A1
agent,대리인,일과 직업,레벨1,A2
chairman,의장,일과 직업,레벨1,A2
dentist,치과 의사,일과 직업,레벨1,A2
hire,사람을 쓰다,일과 직업,레벨2,B1
mill,방앗간,일과 직업,레벨2,B2
profession,직업,일과 직업,레벨2,B1
promote,승진시키다,일과 직업,레벨2,B1
volunteer,자원하는 사람,일과 직업,레벨2,B1
affect,영향을 주다,일의 결과,레벨2,B1
cause,원인,일의 결과,레벨1,A2
effect,효과,일의 결과,레벨1,A2
expect,기대하다,일의 결과,레벨1,A2
factor,요인,일의 결과,레벨2,B2
happen,일어나다,일의 결과,레벨1,A1
influence,영향,일의 결과,레벨1,A2
intend,의도하다,일의 결과,레벨2,B1
intent,의도,일의 결과,레벨2,B2
matter,중요하다,일의 결과,레벨1,A1
obvious,분명한,일의 결과,레벨2,B1
occur,일어나다,일의 결과,레벨2,B1
potential,가능성,일의 결과,레벨2,B1
purpose,목적,일의 결과,레벨1,A2
result,결과,일의 결과,레벨1,A1
succeed,성공하다,일의 결과,레벨1,A2
although,비록 ~이지만,자리와 방향,레벨1,A2
aside,옆으로,자리와 방향,레벨2,B1
forth,앞으로,자리와 방향,레벨2,B1
since,~부터,자리와 방향,레벨1,A2
till,~까지,자리와 방향,레벨1,A2
unless,~하지 않으면,자리와 방향,레벨2,B1
until,~까지,자리와 방향,레벨1,A1
whether,~인지,자리와 방향,레벨2,B1
while,~하는 동안,자리와 방향,레벨1,A2
without,~없이,자리와 방향,레벨1,A2
access,닿는 길,정도와 범위말,레벨2,B1
account,셈 적은 것,정도와 범위말,레벨1,A2
affair,일,정도와 범위말,레벨1,A2
appeal,호소하다,정도와 범위말,레벨2,B1
basis,기초,정도와 범위말,레벨2,B1
brief,짧은,정도와 범위말,레벨2,B1
characteristic,특징,정도와 범위말,레벨2,B1
common,흔한,정도와 범위말,레벨1,A2
conscious,의식하는,정도와 범위말,레벨2,B1
each,저마다,정도와 범위말,레벨1,A1
else,그 밖에,정도와 범위말,레벨1,A1
especial,특별한,정도와 범위말,레벨2,미수록|로부장수기
ever,언제든,정도와 범위말,레벨1,A2
final,마지막의,정도와 범위말,레벨1,A2
general,두루 쓰이는,정도와 범위말,레벨2,B1
indeed,참으로,정도와 범위말,레벨1,A2
instance,예,정도와 범위말,레벨2,B1
interest,관심,정도와 범위말,레벨1,A2
item,항목,정도와 범위말,레벨1,A1
main,주된,정도와 범위말,레벨2,B1
maybe,아마도,정도와 범위말,레벨1,A1
mean,뜻하다,정도와 범위말,레벨1,A1
nowhere,아무데도 없는,정도와 범위말,레벨2,B1
other,다른,정도와 범위말,레벨1,A1
overall,전체의,정도와 범위말,레벨2,B2
particular,특정한,정도와 범위말,레벨2,B2
perhaps,아마,정도와 범위말,레벨1,A2
plus,더하기,정도와 범위말,레벨1,A2
possible,있을 수 있는,정도와 범위말,레벨1,A2
probable,있음직한,정도와 범위말,레벨2,B2
section,부분,정도와 범위말,레벨1,A1
session,시간,정도와 범위말,레벨2,B1
somewhat,다소,정도와 범위말,레벨2,B2
such,그런,정도와 범위말,레벨1,A2
advantage,이로운 점,좋고 나쁨,레벨1,A2
benefit,이익,좋고 나쁨,레벨2,B1
correct,맞는,좋고 나쁨,레벨1,A1
fair,공정한,좋고 나쁨,레벨1,A1
fault,잘못,좋고 나쁨,레벨1,A2
fortunate,운 좋은,좋고 나쁨,레벨2,B1
improve,나아지게 하다,좋고 나쁨,레벨1,A2
necessary,꼭 필요한,좋고 나쁨,레벨1,A2
perfect,완벽한,좋고 나쁨,레벨1,A2
proper,알맞은,좋고 나쁨,레벨1,A2
quality,질,좋고 나쁨,레벨1,A2
deserve,받을 만하다,주고받기,레벨2,B1
exchange,교환하다,주고받기,레벨1,A2
refuse,거절하다,주고받기,레벨2,B1
reserve,예약하다,주고받기,레벨2,B1
villa,별장,집의 구조,레벨2,B2
apply,갖다 쓰다,하고 다루기,레벨1,A2
cope,헤쳐 나가다,하고 다루기,레벨2,B2
process,과정,하고 다루기,레벨2,B1
quit,그만두다,하고 다루기,레벨1,A2
noon,정오,하늘과 날씨,레벨1,A2
rainbow,무지개,하늘과 날씨,레벨2,B2
bother,성가시게 하다,화와 두려움,레벨1,A2
concern,걱정,화와 두려움,레벨1,A2
cruel,모진,화와 두려움,레벨2,B1
disturb,방해하다,화와 두려움,레벨1,A2
frustrate,애타게 하다,화와 두려움,레벨2,미수록|로부장수기
rude,버릇없는,화와 두려움,레벨1,A1
