편코드,제목,상태,확정일,메모
1-01,빛을 보내는 등대,확정,2026-08-28,등대·빛줄기 확인. 8칸 유지. 좌표 3개 바로잡음
1-02,바람을 타는 범선,확정,2026-08-28,범선. navy 뺌(상선임). 좌표 7개 바로잡음. 7칸
1-03,돌고래가 따라오는 배,확정,2026-08-28,돌고래 2마리 확인. 단어 이상없음. 좌표 3개 조정
1-04,고래와 깊은 바다,확정,2026-08-28,고래. 단어 이상없음. 좌표 8개 조정. 손·Veo워터마크 있음
1-05,깊은 바다의 산호 협곡,확정,2026-08-28,가오리와 산호협곡. dive·current 좌표 엉뚱했음. 8칸
1-06,곶을 돌아 열리는 만,확정,2026-08-28,만과 나룻배. locate 뺌(짚을데 없음). 8칸
1-07,고대의 원형 경기장,확정,2026-08-28,콜로세움. 9칸 전부 통과. 손댈것 없음
1-08,별을 보는 망원경,확정,2026-08-28,망원경·별자리. observe가 삼각대에 찍혀있어 접안부로 옮김
1-09,눈 덮인 숲의 오로라,확정,2026-08-28,오로라. 11칸 전부 통과. purple 좌표만 조정
1-10,하늘을 나는 열기구,확정,2026-08-28,열기구. advance 뺌(빈하늘). tour를 바구니로. 7칸
1-11,바다를 보는 석상,확정,2026-08-28,모아이 석상. represent가 빈바다에 있어 작은석상으로
1-12,옛 성,확정,2026-08-28,★그림불량★ 채색이 선을 벗어남. 창고 ch8_15와 동일. 재제작 필요
1-13,박물관 전시실,확정,2026-08-28,★그림불량★ 안내판 글씨·정사각비율. 창고 ch13_03과 동일. 재제작 필요
1-14,공항과 비행기,확정,2026-08-28,공항·비행기. 정상. 좌표 재배치
1-15,궁전과 근위병,확정,2026-08-28,궁전 근위병. 정상. 손댈것 없음
2-01,참나무 아래 초원,확정,2026-08-28,참나무. exist 뺌. branch가 빈하늘에 있어 가지로. 8칸
2-02,평원의 기린과 얼룩말,확정,2026-08-28,기린·얼룩말. ★좌표 10개 전부 하늘에 찍혀있었음★ 전부 동물 위로
2-03,진흙 속 개구리,확정,2026-08-28,★제목불일치★ 제목은 개구리인데 주인공은 뱀. 좌표 8개 조정
2-04,언덕을 오르는 양떼,확정,2026-08-28,양떼. sheep가 빈곳에. lead를 맨앞 양으로. 좌표 8개 조정
2-05,둥지에 돌아온 새,확정,2026-08-28,둥지·참새·알1개. presence 뺌. protect를 새로. 7칸
2-06,통나무 아래의 딱정벌레,확정,2026-08-28,딱정벌레·통나무. bug가 빈곳에 있었음. 8칸
2-07,풀숲을 가르는 뱀,확정,2026-08-28,뱀. ★rat 뺌 - 쥐가 그림에 없음★ 좌표 8개 조정
2-08,솔방울이 여는 씨앗집,확정,2026-08-28,솔방울·씨앗. thick·burst가 빈곳에. 8칸
2-09,개미의 긴 줄,확정,2026-08-28,개미줄·씨앗. lane·bean이 엉뚱한 곳에. 8칸
2-10,새장 문이 열린 날,확정,2026-08-28,새장·앵무새. feed·escape·wire 좌표 바로잡음. 9칸
2-11,숲길을 걷는 여우,확정,2026-08-28,여우·발자국. bush·search 조정. 8칸
2-12,바람 뒤의 거미줄,확정,2026-08-28,거미줄. ★destroy 뺌 - 끊어진 데가 없음★ 부제와 그림 불일치. 8칸
2-13,잎 사이의 위장자,확정,2026-08-28,잎벌레 위장. 8단어가 벌레 하나에 몰려있어 잎·가지·열매로 분산
2-14,숲속의 도토리,확정,2026-08-28,도토리 하나뿐. chew·species 뺌(씹는것도 여러종도 없음). 6칸
2-15,줄무늬 깃털,확정,2026-08-28,깃털. 앞서 확정
2-16,물가의 푸른 잠자리,확정,2026-08-28,잠자리. nerve를 날개맥으로. 물가 부제인데 물 없음. 6칸
