단어,뜻,갈래,레벨,처리방법
shift,옮기다,같고 다름,레벨2,A_새그림
chart,도표,글과 기록,레벨1,A_새그림
comedy,희극,글과 기록,레벨2,A_새그림
edit,편집하다,글과 기록,레벨2,A_새그림
graph,그래프,글과 기록,레벨2,A_새그림
magazine,잡지,글과 기록,레벨1,A_새그림
photo,사진,글과 기록,레벨1,A_새그림
photograph,사진,글과 기록,레벨1,A_새그림
spell,철자,글과 기록,레벨1,A_새그림
disc,둥근 판,기계와 도구,레벨2,A_새그림
glue,glue·음악,기계와 도구,레벨2,A_새그림
screen,화면,기계와 도구,레벨1,A_새그림
opera,오페라·가극,도시의 건물,레벨1,A_새그림
pub,선술집,도시의 건물,레벨2,A_새그림
university,대학교,도시의 건물,레벨1,A_새그림
rat,쥐,동물,레벨1,A_새그림
species,종,동물,레벨2,A_새그림
argue,따지다,따지고 다투기,레벨1,A_새그림
district,모이통 구역,땅과 물길,레벨2,A_새그림
dust,먼지,땅과 물길,레벨1,A_새그림
destroy,부수다,만들고 고치기,레벨1,A_새그림
spoil,망치다,만들고 고치기,레벨2,A_새그림
diet,먹는 것 조절,먹을 것,레벨1,A_새그림
hunger,배고픔,먹을 것,레벨2,A_새그림
gesture,날갯짓,몸 전체로 하는 것,레벨2,A_새그림
shoot,쏘다,몸 전체로 하는 것,레벨1,A_새그림
blind,눈먼,몸과 감각,레벨2,A_새그림
breathe,숨 쉬다,몸과 감각,레벨1,A_새그림
chest,단단한 가슴,몸과 감각,레벨1,A_새그림
chew,씹다,몸과 감각,레벨2,A_새그림
cough,기침,몸과 감각,레벨2,A_새그림
nail,발톱 끝,몸과 감각,레벨2,A_새그림
shoulder,어깨,몸과 감각,레벨1,A_새그림
stomach,배,몸과 감각,레벨1,A_새그림
swallow,제비,몸과 감각,레벨1,A_새그림
tear,눈물,몸과 감각,레벨1,A_새그림
tongue,혀,몸과 감각,레벨2,A_새그림
wound,상처,몸과 마음의 상태,레벨2,A_새그림
beg,간청하다,묻고 부탁하기,레벨1,A_새그림
greet,인사하다,묻고 부탁하기,레벨1,A_새그림
navy,해군,바다와 항해,레벨2,A_새그림
stream,흐름,바다와 항해,레벨2,A_새그림
beer,맥주,부엌과 조리,레벨1,A_새그림
cigarette,담배,부엌과 조리,레벨1,A_새그림
consume,소비하다,부엌과 조리,레벨2,A_새그림
menu,차림표,부엌과 조리,레벨1,A_새그림
mix,섞다,부엌과 조리,레벨1,A_새그림
recipe,조리법,부엌과 조리,레벨2,A_새그림
audience,관객,사람과 관계,레벨1,A_새그림
cast,던지다,성과 왕궁,레벨2,A_새그림
joke,농담,소리내어 말하기,레벨1,A_새그림
shout,외치다,소리내어 말하기,레벨1,A_새그림
whisper,속삭이다,소리내어 말하기,레벨2,A_새그림
yell,고함치다,소리내어 말하기,레벨2,A_새그림
band,악단,소리와 음악,레벨1,A_새그림
concert,연주회,소리와 음악,레벨1,A_새그림
throw,던지다,손으로 하는 것,레벨1,A_새그림
pause,멈춤,시간과 때,레벨2,A_새그림
thief,도둑,싸움과 지킴,레벨1,A_새그림
victim,피해자,싸움과 지킴,레벨2,A_새그림
champion,우승자,운동과 겨루기,레벨2,A_새그림
boss,상사,일과 직업,레벨1,A_새그림
captain,선장,일과 직업,레벨1,A_새그림
client,고객,일과 직업,레벨2,A_새그림
coach,지도자,일과 직업,레벨1,A_새그림
dentist,치과 의사,일과 직업,레벨1,A_새그림
guest,손님,일과 직업,레벨1,A_새그림
lawyer,변호사,일과 직업,레벨1,A_새그림
mill,방앗간,일과 직업,레벨2,A_새그림
profession,직업,일과 직업,레벨2,A_새그림
secretary,비서,일과 직업,레벨1,A_새그림
volunteer,자원하는 사람,일과 직업,레벨2,A_새그림
villa,별장,집의 구조,레벨2,A_새그림
locate,위치를 찾다,찾고 얻기,레벨2,A_새그림
motor,모터(전동기),타고 가기,레벨2,A_새그림
parade,행진,타고 가기,레벨2,A_새그림
picnic,소풍,타고 가기,레벨1,A_새그림
rocket,로켓,타고 가기,레벨2,A_새그림
van,승합차,타고 가기,레벨2,A_새그림
noon,정오,하늘과 날씨,레벨1,A_새그림
planet,행성,하늘과 날씨,레벨1,A_새그림
rainbow,무지개,하늘과 날씨,레벨2,A_새그림
temperature,온도,하늘과 날씨,레벨1,A_새그림
advance,나아가다,가고 오기,레벨2,B_스토리
retire,물러나다,가고 오기,레벨1,B_스토리
possess,지니다,갖고 지니기,레벨2,B_스토리
adapt,적응하다,같고 다름,레벨2,B_스토리
adopt,받아들이다,같고 다름,레벨2,B_스토리
real,진짜의,같고 다름,레벨1,B_스토리
similar,비슷한,같고 다름,레벨1,B_스토리
unit,낱개,같고 다름,레벨1,B_스토리
appoint,정하다,고르고 정하기,레벨2,B_스토리
assign,맡기다,고르고 정하기,레벨2,B_스토리
prepare,준비하다,고르고 정하기,레벨1,B_스토리
schedule,일정,고르고 정하기,레벨1,B_스토리
target,목표점·방향,고르고 정하기,레벨1,B_스토리
principle,원칙,규칙과 사회,레벨2,B_스토리
privacy,사생활,규칙과 사회,레벨2,B_스토리
private,사적인,규칙과 사회,레벨1,B_스토리
responsible,책임 있는,규칙과 사회,레벨2,B_스토리
amuse,재미있게 하다,기쁨과 슬픔,레벨2,B_스토리
appreciate,고마워하다,기쁨과 슬픔,레벨1,B_스토리
entertain,즐겁게 하다,기쁨과 슬픔,레벨2,B_스토리
excite,들뜨게 하다,기쁨과 슬픔,레벨2,B_스토리
humor,해학·유머,기쁨과 슬픔,레벨2,B_스토리
satisfy,만족시키다,기쁨과 슬픔,레벨1,B_스토리
amaze,깜짝 놀라게 하다,놀람과 궁금함,레벨2,B_스토리
fancy,상상,놀람과 궁금함,레벨1,B_스토리
fantastic,환상적인,놀람과 궁금함,레벨1,B_스토리
fascinate,마음을 사로잡다,놀람과 궁금함,레벨2,B_스토리
ghost,유령,놀람과 궁금함,레벨1,B_스토리
hell,지옥,놀람과 궁금함,레벨2,B_스토리
impress,감동시키다,놀람과 궁금함,레벨1,B_스토리
magic,마법,놀람과 궁금함,레벨1,B_스토리
surprise,놀라게 하다,놀람과 궁금함,레벨1,B_스토리
insure,보험을 들다,돈,레벨2,B_스토리
loss,손실,돈,레벨2,B_스토리
cure,낫게 하다,돕고 섬기기,레벨2,B_스토리
favor,호의,돕고 섬기기,레벨2,B_스토리
forgive,용서하다,돕고 섬기기,레벨2,B_스토리
treat,돌보아 주다,돕고 섬기기,레벨2,B_스토리
illustrate,설명하다,드러남과 감춤,레벨2,B_스토리
claim,주장하다,따지고 다투기,레벨1,B_스토리
complain,불평하다,따지고 다투기,레벨1,B_스토리
convince,납득시키다,따지고 다투기,레벨2,B_스토리
debate,토론,따지고 다투기,레벨1,B_스토리
deny,아니라고 하다,따지고 다투기,레벨2,B_스토리
insist,우기다,따지고 다투기,레벨2,B_스토리
replace,바꿔 놓다,만들고 고치기,레벨1,B_스토리
absolute,완전한,많고 적음,레벨2,B_스토리
average,평균,많고 적음,레벨1,B_스토리
bit,조금,많고 적음,레벨1,B_스토리
entire,전체의,많고 적음,레벨2,B_스토리
extra,덤의,많고 적음,레벨1,B_스토리
few,적은,많고 적음,레벨1,B_스토리
limit,한계,많고 적음,레벨2,B_스토리
lot,많음,많고 적음,레벨1,B_스토리
major,주요한,많고 적음,레벨1,B_스토리
maximum,최대의,많고 적음,레벨2,B_스토리
minor,작은 쪽의,많고 적음,레벨2,B_스토리
none,하나도 없음,많고 적음,레벨2,B_스토리
prime,으뜸의,많고 적음,레벨2,B_스토리
quite,꽤,많고 적음,레벨1,B_스토리
range,범위,많고 적음,레벨1,B_스토리
rare,드문·희귀한,많고 적음,레벨2,B_스토리
slight,약간의,많고 적음,레벨2,B_스토리
sum,합계,많고 적음,레벨1,B_스토리
asleep,잠든,몸과 마음의 상태,레벨1,B_스토리
drug,약,몸과 마음의 상태,레벨1,B_스토리
exhaust,기운을 다 쓰다,몸과 마음의 상태,레벨2,B_스토리
exist,존재하다,몸과 마음의 상태,레벨1,B_스토리
mental,마음의,몸과 마음의 상태,레벨2,B_스토리
physical,몸의,몸과 마음의 상태,레벨1,B_스토리
pregnant,생명을 품은,몸과 마음의 상태,레벨2,B_스토리
presence,곁에 있음,몸과 마음의 상태,레벨2,B_스토리
advice,조언,묻고 부탁하기,레벨1,B_스토리
advise,조언하다,묻고 부탁하기,레벨1,B_스토리
excuse,변명,묻고 부탁하기,레벨1,B_스토리
hint,귀띔,묻고 부탁하기,레벨2,B_스토리
pardon,용서,묻고 부탁하기,레벨1,B_스토리
promise,약속,묻고 부탁하기,레벨1,B_스토리
propose,제안하다,묻고 부탁하기,레벨2,B_스토리
recommend,권하다,묻고 부탁하기,레벨2,B_스토리
request,요청,묻고 부탁하기,레벨1,B_스토리
require,요구하다,묻고 부탁하기,레벨2,B_스토리
suggest,넌지시 말하다,묻고 부탁하기,레벨1,B_스토리
confirm,확인하다,믿음과 의심,레벨2,B_스토리
doubt,의심,믿음과 의심,레벨1,B_스토리
truth,진실,믿음과 의심,레벨1,B_스토리
bore,지루하게 하다,바람과 아쉬움,레벨2,B_스토리
depress,기운을 꺾다,바람과 아쉬움,레벨2,B_스토리
desire,바람,바람과 아쉬움,레벨2,B_스토리
desperate,절박한,바람과 아쉬움,레벨2,B_스토리
disappoint,실망시키다,바람과 아쉬움,레벨2,B_스토리
hesitate,망설이다,바람과 아쉬움,레벨2,B_스토리
pity,안타까움,바람과 아쉬움,레벨1,B_스토리
assess,헤아려 매기다,배움과 가르침,레벨2,B_스토리
educate,교육하다,배움과 가르침,레벨2,B_스토리
grade,등급,배움과 가르침,레벨1,B_스토리
awkward,어색한,부끄러움과 미움,레벨2,B_스토리
blame,탓하다,부끄러움과 미움,레벨1,B_스토리
disgust,역겨움,부끄러움과 미움,레벨2,B_스토리
embarrass,부끄럽게 하다,부끄러움과 미움,레벨2,B_스토리
ignore,무시하다,부끄러움과 미움,레벨2,B_스토리
shame,부끄러움,부끄러움과 미움,레벨2,B_스토리
advertise,광고하다,사고팔기,레벨2,B_스토리
bet,내기,사고팔기,레벨2,B_스토리
demand,요구,사고팔기,레벨2,B_스토리
grant,내어 주다,사고팔기,레벨2,B_스토리
guarantee,보증,사고팔기,레벨2,B_스토리
invest,밑천을 대다,사고팔기,레벨2,B_스토리
sponsor,후원자,사고팔기,레벨2,B_스토리
stock,주식,사고팔기,레벨2,B_스토리
waste,낭비하다,사고팔기,레벨2,B_스토리
charm,매력,사람 성격,레벨2,B_스토리
serious,진지한,사람 성격,레벨2,B_스토리
sex,성별,사람 성격,레벨2,B_스토리
smart,영리한,사람 성격,레벨1,B_스토리
teenage,십대의,사람 성격,레벨1,B_스토리
wise,슬기로운,사람 성격,레벨1,B_스토리
associate,어울리다,사람과 관계,레벨2,B_스토리
committee,위원회,사람과 관계,레벨1,B_스토리
community,마을 사람들,사람과 관계,레벨2,B_스토리
council,의회,사람과 관계,레벨2,B_스토리
darling,귀염둥이,사람과 관계,레벨2,B_스토리
depend,기대다,사람과 관계,레벨1,B_스토리
divorce,이혼,사람과 관계,레벨2,B_스토리
fellow,친구·동료,사람과 관계,레벨2,B_스토리
individual,한 사람,사람과 관계,레벨2,B_스토리
involve,끌어들이다,사람과 관계,레벨2,B_스토리
junior,손아래의,사람과 관계,레벨1,B_스토리
male,남자의,사람과 관계,레벨1,B_스토리
native,본디 그곳의,사람과 관계,레벨1,B_스토리
neighbor,이웃,사람과 관계,레벨2,B_스토리
person,사람,사람과 관계,레벨1,B_스토리
respect,존중하다,사람과 관계,레벨2,B_스토리
slave,종,사람과 관계,레벨1,B_스토리
assume,그러려니 하다,생각하기,레벨2,B_스토리
attitude,태도,생각하기,레벨1,B_스토리
concept,개념,생각하기,레벨2,B_스토리
confuse,헷갈리게 하다,생각하기,레벨1,B_스토리
consider,곰곰이 생각하다,생각하기,레벨1,B_스토리
context,앞뒤 사정,생각하기,레벨1,B_스토리
define,뜻을 밝히다,생각하기,레벨2,B_스토리
determine,결정하다,생각하기,레벨2,B_스토리
opinion,의견,생각하기,레벨1,B_스토리
reason,까닭,생각하기,레벨1,B_스토리
regard,여기다,생각하기,레벨2,B_스토리
remind,떠올리게 하다,생각하기,레벨1,B_스토리
strategy,전략,생각하기,레벨1,B_스토리
suppose,추측하다,생각하기,레벨2,B_스토리
tend,~하는 경향이 있다,생각하기,레벨2,B_스토리
circumstance,상황,세상 물정,레벨2,B_스토리
domestic,국내의,세상 물정,레벨2,B_스토리
foreign,외국의,세상 물정,레벨1,B_스토리
modern,요즘의,세상 물정,레벨1,B_스토리
ordinary,평범한,세상 물정,레벨2,B_스토리
situate,자리잡게 하다,세상 물정,레벨2,B_스토리
social,사회의,세상 물정,레벨1,B_스토리
state,상태,세상 물정,레벨1,B_스토리
version,판,세상 물정,레벨2,B_스토리
aloud,소리 내어,소리내어 말하기,레벨2,B_스토리
chat,이야기 나누다,소리내어 말하기,레벨1,B_스토리
converse,이야기를 나누다,소리내어 말하기,레벨2,B_스토리
